timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax
0,2018-02-03,40,30,28,36.55860710144043,0.1181293865765555,2018-01-01,18.358142920902797,0.6454904866525198,30,40
1,2018-03-09,40,30,44,36.45297674699263,0.09761350918850588,2018-02-04,16.973045457493175,0.5142378547845573,30,40
2,2018-04-11,40,30,54,36.447814800121165,0.11385606383884941,2018-03-10,17.07448152259544,0.6369587267953054,30,40
3,2018-05-14,40,30,7,36.50071389334543,0.2738409274690259,2018-04-12,17.399285997663224,1.3987246041269736,30,40
