timeIdx,0,startDate,10,20,30,40,50,60,70,80,90
153,19.6844046911,2017-11-29,19.7789887958,19.4515237808,19.440472126,19.4726510159,19.5173498631,19.3590908051,18.8403657122,18.1028499365,17.5815115419
154,18.4392058148,2018-01-01,18.5302647422,18.3831291199,18.3581429209,18.37534374,18.351266861,18.3439311323,18.3555669149,18.3317813873,17.9999285425
155,16.7814556798,2018-02-04,16.7967744902,16.9750463796,16.9730454575,16.9058050063,16.89258123,16.9100242475,16.901375103,16.8986153725,16.9233722021
156,17.0441325429,2018-03-10,17.0302262968,17.04090388,17.0744815226,16.981020363,17.0009422669,16.9605293461,16.9518801689,16.9380768446,16.8950407846
157,17.0472500324,2018-04-12,16.9339165952,17.0762001038,17.3992859977,16.9450000763,16.9066001892,16.836000061,16.3637502193,16.8641668955,16.5329998016
