timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax
0,2004-01-13,10,0,2,36.38775062561035,0.0021444316522342883,2004-01-01,17.130000114440918,0.01838411814566389,0,10
1,2004-01-26,10,0,2,36.5086555480957,0.0005664536439864158,2004-01-14,17.523999214172363,0.002828222122475033,0,10
2,2004-02-08,10,0,4,36.421284675598145,0.04916636215271391,2004-01-27,17.188499927520752,0.40677115242110135,0,10
3,2004-02-21,10,0,2,36.49501991271973,2.6973983046972182e-06,2004-02-09,17.526000022888184,0.0014147854108136908,0,10
4,2004-03-05,10,0,2,36.258575439453125,0.0008469830676749265,2004-02-22,16.160499572753906,0.004949725889119395,0,10
5,2004-03-18,10,0,4,36.47743892669678,0.05360649706803875,2004-03-06,17.471499919891357,0.1042256242924787,0,10
6,2004-03-30,10,0,2,36.53702163696289,2.1579186437577746e-05,2004-03-19,17.305500030517578,0.0007067183558306711,0,10
7,2004-04-11,10,0,2,36.40972137451172,0.0030480600843078563,2004-03-31,17.05150032043457,0.03889108875712449,0,10
8,2004-05-05,10,0,2,36.55600547790527,0.000445070720275041,2004-04-24,17.721500396728516,0.044547533002074556,0,10
9,2004-05-17,10,0,4,36.46578502655029,0.015616607577492433,2004-05-06,17.4229998588562,0.15069431617307802,0,10
10,2004-06-10,10,0,2,36.432451248168945,2.9671381351669397e-05,2004-05-30,18.4375,0.03464808122383577,0,10
11,2004-06-22,10,0,2,36.468130111694336,0.007280278024377792,2004-06-11,19.824000358581543,0.2333451838435946,0,10
12,2004-07-04,10,0,2,36.50652503967285,0.004118927211272652,2004-06-23,22.151500701904297,0.1421286140728011,0,10
13,2004-07-16,10,0,4,36.667287826538086,0.03128139859021067,2004-07-05,21.501749992370605,0.15640739034629836,0,10
14,2004-07-28,10,0,2,36.70076942443848,0.00456669532985239,2004-07-17,22.471500396728516,0.45042775330816964,0,10
15,2004-08-09,10,0,2,36.72719955444336,0.023526708013569136,2004-07-29,23.880499839782715,0.48861077501031114,0,10
16,2004-08-21,10,0,2,36.764034271240234,0.0,2004-08-10,24.408499717712402,0.045962318412888246,0,10
17,2004-09-02,10,0,2,36.523223876953125,0.00019960747454759415,2004-08-22,23.124000549316406,0.0,0,10
18,2004-09-14,10,0,4,36.504072189331055,0.04052281384305406,2004-09-03,22.469749927520752,0.06226471339277162,0,10
19,2004-09-26,10,0,2,36.586381912231445,0.0003425695846965467,2004-09-15,22.055500030517578,0.007779296710746777,0,10
20,2004-10-08,10,0,2,36.46602249145508,7.55271525315221e-05,2004-09-27,22.009499549865723,0.002121503766644362,0,10
21,2004-11-01,10,0,2,36.53128623962402,0.0015887676014666615,2004-10-21,21.25,0.0028295708216273816,0,10
22,2004-11-13,10,0,4,36.48951053619385,0.08254268301803513,2004-11-02,19.69825029373169,0.6024656669639002,0,10
23,2004-11-25,10,0,2,36.531110763549805,8.361934744561376e-05,2004-11-14,18.795000076293945,0.004243007533288724,0,10
24,2004-12-19,10,0,2,36.36997032165527,0.0013891601269190672,2004-12-08,17.288999557495117,0.004243007533288724,0,10
25,2004-12-31,10,0,2,36.26548194885254,0.0007309949405729461,2004-12-20,16.58449935913086,0.0007067183558306711,0,10
26,2005-01-13,10,0,4,36.29423427581787,0.048233038901678855,2005-01-01,16.214999675750732,0.22517420251557668,0,10
27,2005-01-26,10,0,2,36.29884338378906,0.00037763576265761054,2005-01-14,15.976999759674072,0.042426703585006366,0,10
28,2005-02-08,10,0,2,36.27896690368652,2.9671381351669397e-05,2005-01-27,15.73900032043457,0.0,0,10
29,2005-02-21,10,0,4,36.24080181121826,0.0013838165957020874,2005-02-09,15.330999851226807,0.04737778724529485,0,10
30,2005-03-06,10,0,2,36.35247802734375,0.0006473755931273324,2005-02-22,15.75,0.004243007533288724,0,10
31,2005-03-18,10,0,2,36.312992095947266,0.0021848926268047465,2005-03-07,15.978000164031982,0.008485340717001274,0,10
32,2005-03-30,10,0,2,36.299163818359375,0.0018881788132880527,2005-03-19,16.37049961090088,0.0374763033463108,0,10
33,2005-04-11,10,0,2,36.24528694152832,0.00033177999147775784,2005-03-31,16.488500595092773,0.0007067183558306711,0,10
34,2005-04-23,10,0,2,36.19992256164551,0.014072326955605386,2005-04-12,16.079999923706055,0.16687724351839808,0,10
35,2005-05-05,10,0,2,36.355417251586914,0.0012596850082936008,2005-04-24,17.745999336242676,0.007071229655763757,0,10
36,2005-05-17,10,0,2,36.483882904052734,0.028997031775495095,2005-05-06,18.574999809265137,0.13435066606120669,0,10
