timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax
0,2004-01-13,70,60,1,36.38015365600586,,2004-01-01,17.072999954223633,,60,70
1,2004-01-26,70,60,1,36.44073486328125,,2004-01-14,17.274999618530273,,60,70
2,2004-02-08,70,60,2,36.41166305541992,0.06304898797399278,2004-01-27,17.01949977874756,0.3514318868266294,60,70
3,2004-02-21,70,60,1,36.472190856933594,,2004-02-09,17.381999969482422,,60,70
4,2004-03-05,70,60,1,36.24106216430664,,2004-02-22,16.06599998474121,,60,70
5,2004-03-18,70,60,2,36.38508415222168,0.06510710288047675,2004-03-06,16.715499877929688,0.3599165531940545,60,70
6,2004-03-30,70,60,1,36.40024185180664,,2004-03-19,16.756000518798828,,60,70
7,2004-04-11,70,60,2,36.36910057067871,0.07056663704918392,2004-03-31,16.475500106811523,0.24536613938847773,60,70
8,2004-04-23,70,60,3,36.42240905761719,0.11143785699033697,2004-04-12,16.664666493733723,0.6183336620251287,60,70
9,2004-05-05,70,60,3,36.4697011311849,0.1443693234859683,2004-04-24,16.918333689371746,0.7698191888335951,60,70
10,2004-05-17,70,60,4,36.41287708282471,0.13334482695007208,2004-05-06,16.724000215530396,0.7324671052285976,60,70
11,2004-05-29,70,60,2,36.4325008392334,0.18313985789741763,2004-05-18,16.87849998474121,0.9751013949531302,60,70
12,2004-06-10,70,60,3,36.39496612548828,0.1696617745022098,2004-05-30,16.66699981689453,0.83752517399097,60,70
13,2004-06-22,70,60,3,36.45756912231445,0.13904516070847905,2004-06-11,17.179333368937176,0.6553601072297501,60,70
14,2004-07-04,70,60,2,36.45450019836426,0.17748611105077225,2004-06-23,17.330500602722168,0.6356891149722317,60,70
15,2004-07-16,70,60,4,36.45040225982666,0.19747803934277397,2004-07-05,17.402999877929688,1.0458746797704332,60,70
16,2004-07-28,70,60,3,36.43168258666992,0.11739687971444362,2004-07-17,17.597667058308918,0.66372180399819,60,70
17,2004-08-09,70,60,3,36.42428080240885,0.14963071465919175,2004-07-29,17.63366635640462,0.8775962250729507,60,70
18,2004-08-21,70,60,3,36.41020965576172,0.13245056866178892,2004-08-10,17.858667373657227,0.9782213151982009,60,70
19,2004-09-02,70,60,3,36.42109044392904,0.1671558169069874,2004-08-22,17.665000279744465,1.0660689437792021,60,70
20,2004-09-14,70,60,4,36.3342981338501,0.17126525975929066,2004-09-03,17.655750274658203,0.955346596139091,60,70
21,2004-09-26,70,60,3,36.35311381022135,0.10752559595803311,2004-09-15,17.903666178385418,1.214275614127437,60,70
22,2004-10-08,70,60,3,36.4090461730957,0.14786271499028483,2004-09-27,19.018999735514324,0.28814704280522274,60,70
23,2004-10-20,70,60,3,36.53132247924805,0.25459505594106796,2004-10-09,19.98733393351237,2.116163073614392,60,70
24,2004-11-01,70,60,2,36.47749900817871,0.2722349239015667,2004-10-21,19.003999710083008,2.937321094306817,60,70
25,2004-11-13,70,60,4,36.40446758270264,0.3159002681831065,2004-11-02,18.57925033569336,2.5841162419152037,60,70
26,2004-11-25,70,60,3,36.675523122151695,0.1477302063074043,2004-11-14,19.856333414713543,1.1670753690151612,60,70
27,2004-12-07,70,60,2,36.5,0.08909506600414911,2004-11-26,18.91100025177002,0.20788983604216693,60,70
28,2004-12-19,70,60,3,36.51506423950195,0.21934689486219427,2004-12-08,18.068999608357746,1.2736545266801031,60,70
29,2004-12-31,70,60,2,36.540000915527344,0.2559723095225472,2004-12-20,17.6564998626709,1.460174532086831,60,70
30,2005-01-13,70,60,3,36.44000116984049,0.2582171500094402,2005-01-01,16.95533339182536,1.3216334372653118,60,70
31,2005-01-26,70,60,3,36.43366495768229,0.23506112949339875,2005-01-14,16.660666465759277,1.3115956185675548,60,70
32,2005-02-08,70,60,3,36.3590087890625,0.2244035774452915,2005-01-27,16.09066677093506,1.3348990200623352,60,70
33,2005-02-21,70,60,4,36.298248291015625,0.17427789107787028,2005-02-09,15.599249839782715,1.0027081540137222,60,70
34,2005-03-06,70,60,2,36.40998840332031,0.09052468710563864,2005-02-22,16.171499729156494,0.6088183074104141,60,70
35,2005-03-18,70,60,3,36.30664189656576,0.027351634061187288,2005-03-07,15.67466672261556,0.23552972741229117,60,70
36,2005-03-30,70,60,3,36.24770991007487,0.17328672427648664,2005-03-19,15.2926664352417,1.0656949486555876,60,70
37,2005-04-11,70,60,3,36.27192179361979,0.21159589485693975,2005-03-31,15.62066682179769,1.014813197902615,60,70
38,2005-04-23,70,60,3,36.204978942871094,0.2081088892774976,2005-04-12,15.233333587646484,1.2910389430612277,60,70
39,2005-05-05,70,60,4,36.289669036865234,0.18917117633239205,2005-04-24,15.514749765396118,0.9465625910584018,60,70
40,2005-05-17,70,60,6,36.33609619140625,0.2406586233166865,2005-05-06,15.97849988937378,1.2911458868610932,60,70
41,2005-05-29,70,60,4,36.33578745524088,0.2384528504522875,2005-05-18,16.253000020980835,1.2419915654218185,60,70
42,2005-06-10,70,60,2,36.32296562194824,0.09752983050293731,2005-05-30,16.256499767303467,0.52255146352874,60,70
43,2005-06-22,70,60,2,36.375999450683594,0.2743577763673634,2005-06-11,16.835000038146973,1.572606139524068,60,70
44,2005-07-04,70,60,3,36.310290018717446,0.2169405898869108,2005-06-23,16.228999773661297,1.1142620261513745,60,70
45,2005-07-16,70,60,5,36.282222747802734,0.19653542334228533,2005-07-05,16.22299976348877,1.0328222045628028,60,70
46,2005-07-28,70,60,3,36.43846893310547,0.17611313531368136,2005-07-17,17.511999766031902,1.2957320283309692,60,70
47,2005-08-09,70,60,3,36.339107513427734,0.19642454454805142,2005-07-29,17.520000457763672,0.9011065748230132,60,70
48,2005-08-21,70,60,3,36.31330490112305,0.18059081649947875,2005-08-10,17.542333602905273,1.0438154945499636,60,70
49,2005-09-02,70,60,3,36.43760299682617,0.23390759139012396,2005-08-22,17.469333012898762,1.979538734950604,60,70
50,2005-09-14,70,60,4,36.501712799072266,0.1482162933596953,2005-09-03,17.95775032043457,1.8639434081315958,60,70
51,2005-09-26,70,60,3,36.419382095336914,0.19461998508220898,2005-09-15,17.606000264485676,1.7194270630476642,60,70
52,2005-10-08,70,60,4,36.39480336507162,0.16731616781965192,2005-09-27,17.349750518798828,1.7208336594098659,60,70
53,2005-10-20,70,60,13,36.26415570576986,0.12798671657675809,2005-10-09,16.755923124460075,1.3500957531887605,60,70
54,2005-11-01,70,60,7,36.29015132359096,0.15426503248895848,2005-10-21,17.062999725341797,1.3351361115542477,60,70
55,2005-11-13,70,60,7,36.352591378348215,0.2350684972294422,2005-11-02,17.646000180925643,1.7446671846779451,60,70
56,2005-11-25,70,60,4,36.36799907684326,0.2950431085343563,2005-11-14,17.091750383377075,2.1466034838371257,60,70
57,2005-12-07,70,60,5,36.34000015258789,0.2976113926881044,2005-11-26,16.84879970550537,1.9401544369097057,60,70
58,2005-12-19,70,60,6,36.37449963887533,0.2080906390141696,2005-12-08,16.94516658782959,1.5506989437558798,60,70
59,2005-12-31,70,60,3,36.479000091552734,0.25276706355093886,2005-12-20,17.308333079020183,1.531514534991308,60,70
60,2006-01-13,70,60,7,36.41499982561384,0.19203395141054,2006-01-01,16.533143043518066,1.1420534601847463,60,70
61,2006-01-26,70,60,5,36.4161994934082,0.15759005201643397,2006-01-14,16.27539978027344,0.9741978939079206,60,70
62,2006-02-08,70,60,7,36.3481434413365,0.13682178388642682,2006-01-27,15.750428744724818,0.8378776096174229,60,70
63,2006-02-21,70,60,7,36.36350059509277,0.14448398097724904,2006-02-09,15.805428504943848,0.8977720707853731,60,70
64,2006-03-06,70,60,6,36.27940063476562,0.1350383452206361,2006-02-22,15.262166659037272,0.8127216733482134,60,70
65,2006-03-18,70,60,5,36.302799987792966,0.1476754169198842,2006-03-07,15.36520004272461,0.9462165244047249,60,70
66,2006-03-30,70,60,6,36.31780014038086,0.1714227922271645,2006-03-19,15.403499762217203,0.9087353844115656,60,70
67,2006-04-11,70,60,5,36.30540008544922,0.14104020070582934,2006-03-31,15.622800064086913,0.993004984155066,60,70
68,2006-04-23,70,60,10,36.245277881622314,0.1340966471792581,2006-04-12,15.347700023651123,0.819182672215255,60,70
69,2006-05-05,70,60,14,36.27346165974935,0.14332288283349406,2006-04-24,15.591142654418945,0.7911094476021133,60,70
70,2006-05-17,70,60,6,36.28866640726725,0.13266219010154895,2006-05-06,16.027833302815754,1.0143163458331972,60,70
71,2006-05-29,70,60,6,36.333841959635414,0.10747159061219985,2006-05-18,16.538166681925457,0.9276508435181563,60,70
72,2006-06-10,70,60,6,36.31668663024902,0.11493575760006543,2006-05-30,16.66283305486043,0.8582110170091871,60,70
73,2006-06-22,70,60,8,36.28949499130249,0.11298699838313965,2006-06-11,16.654499650001526,0.8146632106512813,60,70
74,2006-07-04,70,60,6,36.31208801269531,0.11392165282792947,2006-06-23,16.551666895548504,1.0658282969931392,60,70
75,2006-07-16,70,60,6,36.35164324442545,0.13159814536665732,2006-07-05,16.832833290100098,1.1365610074555812,60,70
76,2006-07-28,70,60,6,36.261796951293945,0.1254158304581504,2006-07-17,16.46566677093506,1.0687373360405117,60,70
77,2006-08-09,70,60,6,36.203864415486656,0.19671614156628742,2006-07-29,16.181333382924397,1.3871571617338376,60,70
78,2006-08-21,70,60,8,36.17799091339111,0.12437390825149126,2006-08-10,16.29937505722046,1.3173730029522739,60,70
79,2006-09-02,70,60,11,36.27560488382975,0.1775381354587474,2006-08-22,15.996727336536754,1.2147838458607696,60,70
80,2006-09-14,70,60,4,36.35688495635986,0.1339944439479271,2006-09-03,17.249749660491943,0.9345042450184796,60,70
81,2006-09-26,70,60,4,36.368672370910645,0.13410210135571693,2006-09-15,17.83174991607666,1.041937573362435,60,70
82,2006-10-08,70,60,7,36.32478790283203,0.15411063827034127,2006-09-27,17.85599981035505,1.0075054878484493,60,70
83,2006-10-20,70,60,16,36.257817077636716,0.12579980237096267,2006-10-09,17.391062259674072,1.0304277889502444,60,70
84,2006-11-01,70,60,11,36.30387941996256,0.13798715415270935,2006-10-21,18.03863629427823,1.1813251505944482,60,70
85,2006-11-13,70,60,14,36.38031005859375,0.17146233764499258,2006-11-02,18.63785716465541,1.6934726503625739,60,70
86,2006-11-25,70,60,7,36.28988538469587,0.1113733975852993,2006-11-14,17.778571265084402,0.9834564161978799,60,70
87,2006-12-07,70,60,12,36.38065883091518,0.14124191307020964,2006-11-26,18.18208368619283,1.3499575917618916,60,70
88,2006-12-19,70,60,9,36.51231469048394,0.11589111504348797,2006-12-08,18.9678889380561,0.6119547743025988,60,70
89,2006-12-31,70,60,10,36.52096939086914,0.1279531582399851,2006-12-20,18.41560001373291,0.7070667738637406,60,70
90,2007-01-13,70,60,13,36.49378617604574,0.13774354838565236,2007-01-01,18.142769300020657,0.8010072819242608,60,70
91,2007-01-26,70,60,10,36.50700336032443,0.14616244731848466,2007-01-14,18.015199851989745,0.760526725543583,60,70
92,2007-02-08,70,60,12,36.48309326171875,0.13733296989714733,2007-01-27,17.409583409627277,0.7859923353409931,60,70
93,2007-02-21,70,60,9,36.41106033325195,0.11082659343438334,2007-02-09,17.136444303724502,0.6733586286718406,60,70
94,2007-03-06,70,60,9,36.39781188964844,0.15943264613470187,2007-02-22,16.941444291008843,0.8605018398858318,60,70
95,2007-03-18,70,60,13,36.3250306447347,0.15910414214309973,2007-03-07,16.623615411611702,0.9247754208874229,60,70
96,2007-03-30,70,60,10,36.370882246229385,0.16765944765955,2007-03-19,16.724899768829346,0.9164650382649165,60,70
