timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax
0,2004-01-13,80,70,1,36.37721252441406,,2004-01-01,17.062999725341797,,70,80
1,2004-01-26,80,70,1,36.398643493652344,,2004-01-14,17.121999740600586,,70,80
2,2004-02-08,80,70,2,36.40579795837402,0.05474369859383004,2004-01-27,16.99049949645996,0.3132488651244879,70,80
3,2004-02-21,80,70,1,36.4742546081543,,2004-02-09,17.35700035095215,,70,80
4,2004-03-05,80,70,1,36.24000549316406,,2004-02-22,16.05500030517578,,70,80
5,2004-03-18,80,70,2,36.38157081604004,0.057306226983292394,2004-03-06,16.689499855041504,0.3471888792933407,70,80
6,2004-03-30,80,70,1,36.38410949707031,,2004-03-19,16.69499969482422,,70,80
7,2004-04-11,80,70,3,36.41040547688802,0.1010947521441087,2004-03-31,16.717999776204426,0.5534608261188418,70,80
8,2004-04-23,80,70,3,36.4163932800293,0.11397658722380705,2004-04-12,16.625,0.6104392664243135,70,80
9,2004-05-05,80,70,3,36.46504465738932,0.14467171762937495,2004-04-24,16.87999979654948,0.7887912212356303,70,80
10,2004-05-17,80,70,4,36.386810302734375,0.1312054269668759,2004-05-06,16.55400013923645,0.7108931801521537,70,80
11,2004-05-29,80,70,2,36.420000076293945,0.17253368776334815,2004-05-18,16.772500038146973,0.910046891339595,70,80
12,2004-06-10,80,70,3,36.37883504231771,0.1812767300126026,2004-05-30,16.53433322906494,0.8870977633996235,70,80
13,2004-06-22,80,70,3,36.4478645324707,0.13993922783301765,2004-06-11,17.06766637166341,0.6517098914341121,70,80
14,2004-07-04,80,70,2,36.44700050354004,0.17536056118667084,2004-06-23,17.17050075531006,0.6314461074389429,70,80
15,2004-07-16,80,70,4,36.41959095001221,0.1983174271048132,2004-07-05,17.110000133514404,1.0290885075552332,70,80
16,2004-07-28,80,70,3,36.409000396728516,0.14357352300464513,2004-07-17,17.224000295003254,0.7928033332990412,70,80
17,2004-08-09,80,70,3,36.4024403889974,0.15988097972270932,2004-07-29,17.23033396402995,0.933051569144163,70,80
18,2004-08-21,80,70,3,36.37192153930664,0.08883311953537854,2004-08-10,17.18133290608724,0.7434548002390766,70,80
19,2004-09-02,80,70,3,36.41297912597656,0.17210709993878068,2004-08-22,17.285666783650715,1.0498048349129034,70,80
20,2004-09-14,80,70,4,36.347042083740234,0.1527488888785563,2004-09-03,17.16724967956543,0.9192092956545979,70,80
21,2004-09-26,80,70,3,36.33734893798828,0.10266613161399706,2004-09-15,17.279999415079754,1.1539237407102354,70,80
22,2004-10-08,80,70,3,36.3840446472168,0.17023430525352445,2004-09-27,18.02333386739095,0.8036176521781552,70,80
23,2004-10-20,80,70,3,36.40102895100912,0.17876166974365773,2004-10-09,18.261333465576172,1.4840451352780255,70,80
24,2004-11-01,80,70,2,36.418500900268555,0.21142477652047265,2004-10-21,18.358500480651855,2.4529533268297943,70,80
25,2004-11-13,80,70,4,36.35849094390869,0.33739051411060533,2004-11-02,17.64324975013733,2.922469917765916,70,80
26,2004-11-25,80,70,3,36.519142150878906,0.164216314893235,2004-11-14,18.882666905721027,1.3187919377518766,70,80
27,2004-12-07,80,70,2,36.45699882507324,0.03252792615634375,2004-11-26,18.551000595092773,0.29415667992384104,70,80
28,2004-12-19,80,70,3,36.509681701660156,0.22439319794481652,2004-12-08,18.051666895548504,1.2937678271396962,70,80
29,2004-12-31,80,70,3,36.448342641194664,0.24075844612824923,2004-12-20,17.30500030517578,1.2021035711320693,70,80
30,2005-01-13,80,70,3,36.43200174967448,0.2665163878936365,2005-01-01,16.930333455403645,1.3506561388928564,70,80
31,2005-01-26,80,70,3,36.433692932128906,0.23506578666508463,2005-01-14,16.661666870117188,1.3116276938224083,70,80
32,2005-02-08,80,70,3,36.355475107828774,0.22748286354743488,2005-01-27,16.077999750773113,1.347941666855024,70,80
33,2005-02-21,80,70,4,36.298245429992676,0.1742791660198523,2005-02-09,15.59975004196167,1.0029103994579063,70,80
34,2005-03-06,80,70,2,36.412994384765625,0.09475960244401327,2005-02-22,16.180999755859375,0.6194251518940598,70,80
