idx,lat,lon,shape,aggTemp,aggPsal,nProf
6666,71.5,6.5,"[[7.0, 71.0], [7.0, 72.0], [6.0, 72.0], [6.0, 71.0], [7.0, 71.0]]",8.5213213308,35.068035262,28
6670,71.5,10.5,"[[11.0, 71.0], [11.0, 72.0], [10.0, 72.0], [10.0, 71.0], [11.0, 71.0]]",8.0763333639,35.0660018921,3
7018,70.5,-1.5,"[[-1.0, 70.0], [-1.0, 71.0], [-2.0, 71.0], [-2.0, 70.0], [-1.0, 70.0]]",9.0591428961,35.0175356184,28
7019,70.5,-0.5,"[[0.0, 70.0], [0.0, 71.0], [-1.0, 71.0], [-1.0, 70.0], [0.0, 70.0]]",8.9146151176,35.0449981689,13
7020,70.5,0.5,"[[1.0, 70.0], [1.0, 71.0], [0.0, 71.0], [0.0, 70.0], [1.0, 70.0]]",9.1675714765,35.0257866723,28
7028,70.5,8.5,"[[9.0, 70.0], [9.0, 71.0], [8.0, 71.0], [8.0, 70.0], [9.0, 70.0]]",8.7029998779,35.0510990143,10
7033,70.5,13.5,"[[14.0, 70.0], [14.0, 71.0], [13.0, 71.0], [13.0, 70.0], [14.0, 70.0]]",8.8965715,35.0415000916,14
7316,69.5,-63.5,"[[-63.0, 69.0], [-63.0, 70.0], [-64.0, 70.0], [-64.0, 69.0], [-63.0, 69.0]]",-0.2818250898,31.8256981173,275
7317,69.5,-62.5,"[[-62.0, 69.0], [-62.0, 70.0], [-63.0, 70.0], [-63.0, 69.0], [-62.0, 69.0]]",-0.1825357142,31.715871424,350
7368,69.5,-11.5,"[[-11.0, 69.0], [-11.0, 70.0], [-12.0, 70.0], [-12.0, 69.0], [-11.0, 69.0]]",6.7146666845,34.7039985657,3
7369,69.5,-10.5,"[[-10.0, 69.0], [-10.0, 70.0], [-11.0, 70.0], [-11.0, 69.0], [-10.0, 69.0]]",7.2300000191,34.6996676127,3
7376,69.5,-3.5,"[[-3.0, 69.0], [-3.0, 70.0], [-4.0, 70.0], [-4.0, 69.0], [-3.0, 69.0]]",9.1752858843,35.0030446734,7
7383,69.5,3.5,"[[4.0, 69.0], [4.0, 70.0], [3.0, 70.0], [3.0, 69.0], [4.0, 69.0]]",9.5472121672,35.0151212288,33
7384,69.5,4.5,"[[5.0, 69.0], [5.0, 70.0], [4.0, 70.0], [4.0, 69.0], [5.0, 69.0]]",9.9731428964,34.9915722438,7
7676,68.5,-63.5,"[[-63.0, 68.0], [-63.0, 69.0], [-64.0, 69.0], [-64.0, 68.0], [-63.0, 68.0]]",-0.6896579978,31.7455701065,100
7718,68.5,-21.5,"[[-21.0, 68.0], [-21.0, 69.0], [-22.0, 69.0], [-22.0, 68.0], [-21.0, 68.0]]",1.1356102962,34.1996910432,136
7727,68.5,-12.5,"[[-12.0, 68.0], [-12.0, 69.0], [-13.0, 69.0], [-13.0, 68.0], [-12.0, 68.0]]",6.0474284717,34.6268561227,7
7731,68.5,-8.5,"[[-8.0, 68.0], [-8.0, 69.0], [-9.0, 69.0], [-9.0, 68.0], [-8.0, 68.0]]",7.0064814885,34.644778075,54
7742,68.5,2.5,"[[3.0, 68.0], [3.0, 69.0], [2.0, 69.0], [2.0, 68.0], [3.0, 68.0]]",9.2534998417,35.0279502869,20
7744,68.5,4.5,"[[5.0, 68.0], [5.0, 69.0], [4.0, 69.0], [4.0, 68.0], [5.0, 68.0]]",9.8579999379,35.0278570993,7
7745,68.5,5.5,"[[6.0, 68.0], [6.0, 69.0], [5.0, 69.0], [5.0, 68.0], [6.0, 68.0]]",9.5137141091,35.0212854658,7
7748,68.5,8.5,"[[9.0, 68.0], [9.0, 69.0], [8.0, 69.0], [8.0, 68.0], [9.0, 68.0]]",9.746055603,34.975777732,18
8079,67.5,-20.5,"[[-20.0, 67.0], [-20.0, 68.0], [-21.0, 68.0], [-21.0, 67.0], [-20.0, 67.0]]",4.4773846406,34.2316929744,13
8090,67.5,-9.5,"[[-9.0, 67.0], [-9.0, 68.0], [-10.0, 68.0], [-10.0, 67.0], [-9.0, 67.0]]",6.4338518955,34.6708879824,27
8092,67.5,-7.5,"[[-7.0, 67.0], [-7.0, 68.0], [-8.0, 68.0], [-8.0, 67.0], [-7.0, 67.0]]",7.4170000894,34.8439284733,14
8094,67.5,-5.5,"[[-5.0, 67.0], [-5.0, 68.0], [-6.0, 68.0], [-6.0, 67.0], [-5.0, 67.0]]",8.2190000094,34.8394619868,13
8098,67.5,-1.5,"[[-1.0, 67.0], [-1.0, 68.0], [-2.0, 68.0], [-2.0, 67.0], [-1.0, 67.0]]",8.7271428108,34.8950718471,14
8102,67.5,2.5,"[[3.0, 67.0], [3.0, 68.0], [2.0, 68.0], [2.0, 67.0], [3.0, 67.0]]",9.2573334376,35.0299987793,3
8450,66.5,-9.5,"[[-9.0, 66.0], [-9.0, 67.0], [-10.0, 67.0], [-10.0, 66.0], [-9.0, 66.0]]",6.6509676903,34.6813219132,31
8455,66.5,-4.5,"[[-4.0, 66.0], [-4.0, 67.0], [-5.0, 67.0], [-5.0, 66.0], [-4.0, 66.0]]",8.4198331833,34.928237915,6
8457,66.5,-2.5,"[[-2.0, 66.0], [-2.0, 67.0], [-3.0, 67.0], [-3.0, 66.0], [-2.0, 66.0]]",9.6645714896,34.9254275731,7
8459,66.5,-0.5,"[[0.0, 66.0], [0.0, 67.0], [-1.0, 67.0], [-1.0, 66.0], [0.0, 66.0]]",9.7211427689,34.926285335,7
8460,66.5,0.5,"[[1.0, 66.0], [1.0, 67.0], [0.0, 67.0], [0.0, 66.0], [1.0, 66.0]]",10.5731153488,34.9640007019,26
8786,65.5,-33.5,"[[-33.0, 65.0], [-33.0, 66.0], [-34.0, 66.0], [-34.0, 65.0], [-33.0, 65.0]]",3.8791428975,33.845286778,7
8788,65.5,-31.5,"[[-31.0, 65.0], [-31.0, 66.0], [-32.0, 66.0], [-32.0, 65.0], [-31.0, 65.0]]",7.8349999428,34.7869987488,5
