,ARGOS,GPS,GTS,IRIDIUM,date,nProf
130,7102,5359.0,26.0,58.0,2014-11-30,12780
131,7558,5524.0,149.0,64.0,2014-12-31,13560
132,7601,5680.0,335.0,54.0,2015-01-31,13899
133,6879,5693.0,172.0,44.0,2015-02-28,13010
134,7548,5922.0,92.0,57.0,2015-03-31,13879
135,7334,5961.0,44.0,47.0,2015-04-30,13632
136,7621,6638.0,34.0,53.0,2015-05-31,14588
137,7274,5811.0,24.0,50.0,2015-06-30,13458
138,7509,6919.0,16.0,46.0,2015-07-31,14854
139,7338,6762.0,16.0,50.0,2015-08-31,14503
140,7023,6360.0,15.0,64.0,2015-09-30,13777
141,7255,6764.0,14.0,82.0,2015-10-31,14454
142,7026,6978.0,15.0,82.0,2015-11-30,14565
143,7244,6884.0,123.0,85.0,2015-12-31,14792
144,7139,7063.0,170.0,81.0,2016-01-31,14792
145,6578,6590.0,73.0,60.0,2016-02-29,13654
146,6957,7420.0,29.0,65.0,2016-03-31,14856
147,6664,7107.0,28.0,48.0,2016-04-30,14114
148,6820,7630.0,26.0,51.0,2016-05-31,14802
149,6419,7534.0,4.0,47.0,2016-06-30,14294
150,6461,8013.0,,46.0,2016-07-31,14816
151,6338,7744.0,,40.0,2016-08-31,14478
152,6022,7507.0,,55.0,2016-09-30,13922
153,6208,7705.0,,63.0,2016-10-31,14331
154,5907,7507.0,,79.0,2016-11-30,13880
155,6118,7945.0,,57.0,2016-12-31,14436
156,5999,8043.0,,50.0,2017-01-31,14307
157,5286,7344.0,,33.0,2017-02-28,12866
158,5808,7884.0,,45.0,2017-03-31,14012
159,5554,7744.0,,43.0,2017-04-30,13482
160,5627,7801.0,,31.0,2017-05-31,13604
161,5668,7719.0,,38.0,2017-06-30,13590
162,5414,7614.0,,39.0,2017-07-31,13271
163,5315,8023.0,,48.0,2017-08-31,13630
164,5025,7933.0,,51.0,2017-09-30,13222
165,5053,8457.0,,69.0,2017-10-31,13811
166,4805,8230.0,,73.0,2017-11-30,13334
167,4897,8475.0,,71.0,2017-12-31,13662
