timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax
0,2004-02-03,90,80,3,36.350240071614586,0.03207542308485117,2004-01-01,16.83799997965495,0.17965185618054302,80,90
1,2004-03-08,90,80,4,36.34830856323242,0.08120128206167967,2004-02-04,16.650750160217285,0.49965554452326505,80,90
2,2004-04-11,90,80,5,36.3959228515625,0.0791688008183161,2004-03-09,16.702999877929688,0.44367144236533546,80,90
3,2004-05-14,90,80,9,36.42307366265191,0.12059100385897417,2004-04-12,16.669111251831055,0.6475261328795249,80,90
4,2004-06-16,90,80,9,36.377574072943794,0.14827309509776732,2004-05-15,16.540555318196613,0.746320932006073,80,90
5,2004-07-19,90,80,7,36.43870489937918,0.16306710981366707,2004-06-17,17.02585710797991,0.7990338471942205,80,90
6,2004-08-21,90,80,10,36.39764633178711,0.13165902999714124,2004-07-20,17.042000007629394,0.7097115322116333,80,90
7,2004-09-23,90,80,9,36.36131795247396,0.13852245621754924,2004-08-22,16.98211118910048,0.8828307846689057,80,90
8,2004-10-26,90,80,8,36.38780927658081,0.142391588362276,2004-09-24,17.525750160217285,0.8303087009722057,80,90
9,2004-11-28,90,80,11,36.348962263627485,0.16210496350751122,2004-10-27,17.443636374040082,1.6334619795137888,80,90
10,2004-12-31,90,80,8,36.44382953643799,0.213265765585462,2004-11-29,17.49874973297119,1.2713405268915983,80,90
11,2005-02-03,90,80,8,36.43702983856201,0.22515574848529482,2005-01-01,16.772375106811523,1.214106663391983,80,90
12,2005-03-09,90,80,9,36.34877734714084,0.16475458300948692,2005-02-04,15.894222259521484,0.9770981653236362,80,90
13,2005-04-11,90,80,8,36.25880575180054,0.14740803069028174,2005-03-10,15.354124903678894,0.832519162711559,80,90
14,2005-05-14,90,80,10,36.263447284698486,0.18901362337649014,2005-04-12,15.226600074768067,1.0707311846546508,80,90
15,2005-06-16,90,80,12,36.28561553955078,0.1776592904305031,2005-05-15,15.666416883468628,0.9915378805844649,80,90
16,2005-07-19,90,80,9,36.2595225742885,0.16585558878833895,2005-06-17,15.614888932969835,0.9327467327230357,80,90
17,2005-08-21,90,80,9,36.27759615580241,0.14950159852410558,2005-07-20,16.081777572631836,0.7980138199299788,80,90
18,2005-09-23,90,80,9,36.36102739969889,0.17420391197148874,2005-08-22,16.274889204237198,1.3188027498491028,80,90
19,2005-10-26,90,80,21,36.2595026228163,0.13632073510913134,2005-09-24,15.960142816816058,1.0149747817871542,80,90
20,2005-11-28,90,80,15,36.25836079915364,0.1448293342406855,2005-10-27,16.020333290100098,1.258463513952174,80,90
21,2005-12-31,90,80,20,36.28083324432373,0.21516528232266838,2005-11-29,16.195550155639648,1.250690069662358,80,90
22,2006-02-03,90,80,19,36.39058842378504,0.17238298950007336,2006-01-01,16.175210450824938,0.9870054513906844,80,90
23,2006-03-09,90,80,19,36.29747076595531,0.11898903991420297,2006-02-04,15.39547348022461,0.7548119592364321,80,90
24,2006-04-11,90,80,18,36.29446716308594,0.14064334361279549,2006-03-10,15.302388932969835,0.8483940066671863,80,90
