timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax
0,2004-02-03,40,30,3,36.42011388142904,0.07079202317598401,2004-01-01,17.122333526611328,0.3548551906187113,30,40
1,2004-03-08,40,30,4,36.3987340927124,0.10071570792647334,2004-02-04,16.961750030517578,0.6172460410743292,30,40
2,2004-04-11,40,30,3,36.4453379313151,0.10333708961251376,2004-03-09,16.92900021870931,0.4635442699540437,30,40
3,2004-05-14,40,30,9,36.46802775065104,0.10505769283531169,2004-04-12,17.04655541314019,0.5561299302357287,30,40
4,2004-06-16,40,30,9,36.46742502848307,0.11540760874831617,2004-05-15,17.56488863627116,0.7868561534333735,30,40
5,2004-07-19,40,30,8,36.53246355056763,0.1627084467119395,2004-06-17,18.97224998474121,0.944417759135037,30,40
6,2004-08-21,40,30,11,36.6231013211337,0.12185480211740626,2004-07-20,21.175818183205344,0.9962061471844258,30,40
7,2004-09-23,40,30,9,36.64570787217882,0.18704692990512287,2004-08-22,22.34200011359321,1.4292216090622583,30,40
8,2004-10-26,40,30,7,36.806109292166575,0.14567725754709177,2004-09-24,22.64628573826381,0.6769607809976945,30,40
9,2004-11-28,40,30,11,36.65037883411754,0.1929216283182198,2004-10-27,20.475727081298828,1.35315502330661,30,40
10,2004-12-31,40,30,8,36.52063035964966,0.2153315587319465,2004-11-29,17.97812509536743,1.3012187588096975,30,40
11,2005-02-03,40,30,9,36.427001953125,0.20744593901065667,2005-01-01,16.680111037360298,1.1592941070113774,30,40
12,2005-03-09,40,30,9,36.34889221191406,0.16222261712657945,2005-02-04,15.890111181471083,0.9662555426849836,30,40
13,2005-04-11,40,30,8,36.27177715301514,0.1538793846515957,2005-03-10,15.845750212669373,0.7157846540246633,30,40
14,2005-05-14,40,30,10,36.329495429992676,0.20382008614224006,2005-04-12,16.426399993896485,1.0525031827407527,30,40
15,2005-06-16,40,30,12,36.428968811035155,0.19293266314280677,2005-05-15,18.105832894643147,0.9484580779990278,30,40
16,2005-07-19,40,30,9,36.448174067905974,0.19046836635501546,2005-06-17,19.214444478352863,1.1031677229468768,30,40
17,2005-08-21,40,30,8,36.60946960449219,0.09912424923719983,2005-07-20,21.202499866485596,0.7280517388199098,30,40
18,2005-09-23,40,30,9,36.72394688924154,0.16188615212605464,2005-08-22,21.339999940660263,1.5130335656104854,30,40
19,2005-10-26,40,30,22,36.46712393509714,0.256510984630485,2005-09-24,20.356500018726695,1.8106998951334852,30,40
20,2005-11-28,40,30,16,36.47500419616699,0.18441466175279572,2005-10-27,19.87418758869171,1.127194306709118,30,40
21,2005-12-31,40,30,12,36.448917071024574,0.19494878018251072,2005-11-29,17.58608341217041,1.20285604847334,30,40
22,2006-02-03,40,30,17,36.407234865076404,0.16003039381708056,2006-01-01,16.292882302228143,0.9915851487753561,30,40
23,2006-03-09,40,30,19,36.30305929744945,0.12436580138538078,2006-02-04,15.432789501390959,0.7723720137898472,30,40
24,2006-04-11,40,30,22,36.31553370157878,0.14703807687880424,2006-03-10,15.541318156502463,0.7721046222742951,30,40
25,2006-05-14,40,30,22,36.29751052856445,0.13800884777075217,2006-04-12,16.470681884072043,0.810428239579048,30,40
26,2006-06-16,40,30,18,36.38943714565701,0.13306728797620263,2006-05-15,17.74822213914659,0.9672309389158781,30,40
27,2006-07-19,40,30,18,36.3886227077908,0.12694150970723106,2006-06-17,18.720055474175346,1.3322161171263094,30,40
28,2006-08-21,40,30,22,36.37112079967152,0.19123394885648679,2006-07-20,19.52990904721347,1.5932175101486596,30,40
29,2006-09-23,40,30,20,36.50585467998798,0.2108962389329749,2006-08-22,21.00079984664917,1.3453105540559778,30,40
30,2006-10-26,40,30,28,36.543809618268696,0.1744736933862334,2006-09-24,21.880000046321324,1.1750124347628315,30,40
31,2006-11-28,40,30,24,36.51371717453003,0.18092221640020215,2006-10-27,20.80958350499471,0.8966719232039255,30,40
32,2006-12-31,40,30,26,36.523204216590294,0.1269257876586021,2006-11-29,18.88676936809833,0.7614130601906486,30,40
33,2007-02-03,40,30,30,36.498419189453124,0.14157293638799331,2007-01-01,17.832866668701172,0.7920365291234542,30,40
34,2007-03-09,40,30,30,36.42193412780762,0.12568926891146842,2007-02-04,17.17910016377767,0.7326970004761362,30,40
35,2007-04-11,40,30,28,36.38713104248047,0.1579521931607574,2007-03-10,16.821464334215438,0.8368135664201567,30,40
36,2007-05-14,40,30,25,36.40381709012118,0.15722594549521723,2007-04-12,17.12675994873047,0.8848092646488002,30,40
37,2007-06-16,40,30,33,36.458333841959636,0.1098613674023306,2007-05-15,18.004242405746922,0.8461742500446919,30,40
38,2007-07-19,40,30,35,36.584595799446106,0.145222481368764,2007-06-17,19.848542840140208,1.0187440681488142,30,40
39,2007-08-21,40,30,32,36.68628442698512,0.1152686956983092,2007-07-20,21.301749885082245,0.7033113428955915,30,40
40,2007-09-23,40,30,31,36.72397831508091,0.12366625557023314,2007-08-22,21.779838623539096,0.48995996432927374,30,40
41,2007-10-26,40,30,38,36.773436939015106,0.11542287593557844,2007-09-24,21.7986579694246,0.7121998656349269,30,40
42,2007-11-28,40,30,47,36.75937599359557,0.10594906955697388,2007-10-27,20.964127723206865,0.7153742890038289,30,40
43,2007-12-31,40,30,40,36.673415622195684,0.10114913576844248,2007-11-29,19.279449939727783,0.649232148117688,30,40
44,2008-02-03,40,30,46,36.602872394380114,0.07390572697310227,2008-01-01,18.207630323327106,0.6097640658283092,30,40
45,2008-03-08,40,30,41,36.5855278968811,0.06939305686183013,2008-02-04,17.8592927048846,0.5225383211708697,30,40
46,2008-04-11,40,30,31,36.543471182546305,0.08836460925540134,2008-03-09,17.515870986446256,0.4468974135080012,30,40
47,2008-05-14,40,30,34,36.549474603989545,0.09871351830157257,2008-04-12,17.89341163635254,0.45810315400659135,30,40
48,2008-06-16,40,30,33,36.5631489609227,0.1569755406603984,2008-05-15,18.787151510065254,0.8881618462748071,30,40
49,2008-07-19,40,30,29,36.6478727932634,0.18987871232589712,2008-06-17,20.327172378013874,1.1856144897297556,30,40
50,2008-08-21,40,30,33,36.773712967381336,0.32973490038329817,2008-07-20,21.18624224807277,1.790508102382031,30,40
51,2008-09-23,40,30,32,36.80072736740112,0.17225560830504746,2008-08-22,22.447656214237213,1.2918940066307805,30,40
52,2008-10-26,40,30,22,36.80514959855513,0.10782882861988323,2008-09-24,22.307954354719683,0.40132807143644,30,40
53,2008-11-28,40,30,17,36.78669514375574,0.10146820359588936,2008-10-27,20.364882413078757,0.720453189662043,30,40
54,2008-12-31,40,30,18,36.648849699232315,0.09737873157113293,2008-11-29,18.16155539618598,0.7718309050029865,30,40
55,2009-02-03,40,30,26,36.60291627737192,0.10788378761939199,2009-01-01,17.663884676419773,0.774989117941553,30,40
56,2009-03-09,40,30,30,36.50786043802897,0.10252808854930984,2009-02-04,16.818000062306723,0.6292798344748165,30,40
57,2009-04-11,40,30,28,36.49388231549944,0.101981704627587,2009-03-10,16.826142821993148,0.6227925071919467,30,40
58,2009-05-14,40,30,24,36.55090363820394,0.1083903653105603,2009-04-12,17.4474999109904,0.5727919719164258,30,40
59,2009-06-16,40,30,23,36.583131873089336,0.1078637235398123,2009-05-15,18.322087080582328,0.6235502242287854,30,40
60,2009-07-19,40,30,24,36.53972212473551,0.20938474006249888,2009-06-17,19.399624903996784,0.9879695803537991,30,40
61,2009-08-21,40,30,28,36.49683747972761,0.2233496393229847,2009-07-20,20.4903929574149,1.5769886760680358,30,40
62,2009-09-23,40,30,26,36.70115661621094,0.1722523508889727,2009-08-22,21.871499868539665,1.5080148796521922,30,40
63,2009-10-26,40,30,24,36.73003466924032,0.18416452096621666,2009-09-24,22.286583344141643,0.7398087545364103,30,40
64,2009-11-28,40,30,28,36.6605156489781,0.21144018442333887,2009-10-27,21.37433355825919,0.9104600349488836,30,40
65,2009-12-31,40,30,27,36.53834717362015,0.18505975166782956,2009-11-29,19.309592564900715,1.0091971965195785,30,40
66,2010-02-03,40,30,29,36.444644007189524,0.18818569265863544,2010-01-01,17.681345018847235,1.100844597892655,30,40
67,2010-03-09,40,30,24,36.43923203150431,0.1458401876024324,2010-02-04,17.21833336353302,0.8094381282250921,30,40
68,2010-04-11,40,30,24,36.37429634730021,0.16010218079145397,2010-03-10,16.76283327738444,0.8727824642283987,30,40
69,2010-05-14,40,30,27,36.411417360659,0.16048310067036906,2010-04-12,17.324481434292263,0.8654980353776699,30,40
70,2010-06-16,40,30,30,36.485983022054036,0.1446064860755655,2010-05-15,18.533499844868977,0.7220278017710696,30,40
71,2010-07-19,40,30,25,36.51149200439453,0.1437727403148927,2010-06-17,19.537319869995116,0.8598936536449381,30,40
72,2010-08-21,40,30,30,36.52344856262207,0.13542834144024027,2010-07-20,20.664866574605306,1.0354966466635185,30,40
73,2010-09-23,40,30,29,36.55038715231007,0.1643862518437861,2010-08-22,21.532172499031855,1.250774981074788,30,40
74,2010-10-26,40,30,25,36.62979461669922,0.16005153639522787,2010-09-24,22.054440155029297,0.7027261052523583,30,40
75,2010-11-28,40,30,24,36.642967542012535,0.15164715281035887,2010-10-27,20.823583443959553,0.9895093834530029,30,40
76,2010-12-31,40,30,19,36.559749603271484,0.09766456690281236,2010-11-29,18.906631670500104,0.8796377969516228,30,40
77,2011-02-03,40,30,20,36.43492546081543,0.16455439809372877,2011-01-01,17.537349891662597,0.9910742568784976,30,40
78,2011-03-09,40,30,19,36.412235059236224,0.1423111264954384,2011-02-04,16.822368722212943,0.8124738239629964,30,40
79,2011-04-11,40,30,20,36.39510803222656,0.12020534336338105,2011-03-10,16.609899950027465,0.7592471930228758,30,40
80,2011-05-14,40,30,16,36.40877079963684,0.13534508974396064,2011-04-12,17.171374797821045,0.7521839994591549,30,40
81,2011-06-16,40,30,19,36.49376402960883,0.16285626099995815,2011-05-15,18.347526349519427,1.0665112027919004,30,40
82,2011-07-19,40,30,46,36.41909425523546,0.14751479016980626,2011-06-17,18.378652365311332,1.4916727295596792,30,40
83,2011-08-21,40,30,43,36.611870521722835,0.1256378431052296,2011-07-20,20.923046688700833,0.7062953861208708,30,40
84,2011-09-23,40,30,40,36.64635543823242,0.11224520859485346,2011-08-22,22.02005019187927,0.5787193382852722,30,40
85,2011-10-26,40,30,42,36.72004926772345,0.1036703702229725,2011-09-24,22.28328582218715,0.5338598007705343,30,40
86,2011-11-28,40,30,39,36.55343706179888,0.1437569863921903,2011-10-27,20.326692189925755,1.0158673886974963,30,40
