timeIdx,timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax,depthIdx
18,18,2005-09-23,10,0,6,36.69178263346354,0.049335470012531205,2005-08-22,22.70233313242595,0.4053707400739917,0,10,0
19,19,2005-10-26,10,0,32,36.47284352779389,0.13218111689861098,2005-09-24,20.81971889734268,0.8745214939755673,0,10,0
20,20,2005-11-28,10,0,26,36.396328706007736,0.07996530469152974,2005-10-27,19.651653803311863,1.0027813045163945,0,10,0
21,21,2005-12-31,10,0,18,36.34355587429471,0.039847400467929055,2005-11-29,16.956222428215877,0.4231066524120385,0,10,0
22,22,2006-02-03,10,0,26,36.323307624230026,0.07003956834324923,2006-01-01,15.802807624523457,0.3604018223498913,0,10,0
23,23,2006-03-09,10,0,28,36.24614293234689,0.0368578271190713,2006-02-04,15.094571420124598,0.21350089413956708,0,10,0
24,24,2006-04-11,10,0,24,36.25,0.03463450081152443,2006-03-10,15.634874979654946,0.3908255410448633,0,10,0
25,25,2006-05-14,10,0,28,36.273036003112786,0.0742603434084251,2006-04-12,16.895750045776367,0.4935039035941575,0,10,0
26,26,2006-06-16,10,0,24,36.398291746775314,0.06439796704283005,2006-05-15,19.25458327929179,0.6848772308931049,0,10,0
27,27,2006-07-19,10,0,24,36.46183347702026,0.060355363905653124,2006-06-17,20.36791658401489,0.4432228030531004,0,10,0
28,28,2006-08-21,10,0,28,36.46828583308629,0.04758447787565085,2006-07-20,21.952749797276088,0.4550181178860831,0,10,0
29,29,2006-09-23,10,0,14,36.58257130214146,0.055098013749461744,2006-08-22,22.40714291163853,0.520182114680362,0,10,0
30,30,2006-10-26,10,0,30,36.5396999359131,0.1004180635633695,2006-09-24,22.095566622416182,0.5601478299527407,0,10,0
31,31,2006-11-28,10,0,29,36.426489336737276,0.1348596893547725,2006-10-27,20.601655236605943,0.5690348776384466,0,10,0
32,32,2006-12-31,10,0,31,36.47146077309885,0.09110797075622044,2006-11-29,18.65867725495369,0.7174955073534446,0,10,0
33,33,2007-02-03,10,0,38,36.44511604309082,0.09407075312074208,2007-01-01,17.570710533543636,0.6733702380548848,0,10,0
34,34,2007-03-09,10,0,35,36.379569789341524,0.1164251543950813,2007-02-04,16.989600045340403,0.5947704858364395,0,10,0
35,35,2007-04-11,10,0,40,36.37564096450806,0.13417214429872812,2007-03-10,16.645150065422055,0.6476392113451513,0,10,0
36,36,2007-05-14,10,0,35,36.37383586338589,0.14959760477268624,2007-04-12,17.09045718056815,0.7426278934293997,0,10,0
37,37,2007-06-16,10,0,51,36.46121522492054,0.11396569930843665,2007-05-15,18.473980473537072,0.910457714689814,0,10,0
38,38,2007-07-19,10,0,53,36.598434808119286,0.1366329949061365,2007-06-17,20.528471676808483,0.6564569246421637,0,10,0
