timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax
0,2004-02-03,20,10,3,36.42146682739258,0.07357049920415105,2004-01-01,17.137666702270508,0.35427401967891503,10,20
1,2004-03-08,20,10,4,36.407896995544434,0.10749845143175699,2004-02-04,17.03225040435791,0.6481875464733036,10,20
2,2004-04-11,20,10,3,36.46685282389323,0.06813636076729684,2004-03-09,17.124000549316406,0.1955098197014159,10,20
3,2004-05-14,20,10,9,36.47447755601671,0.09701713067980279,2004-04-12,17.124555587768555,0.5220510252727237,10,20
4,2004-06-16,20,10,9,36.499129401312935,0.10988572866172538,2004-05-15,18.383000055948894,0.7405237239694443,10,20
5,2004-07-19,20,10,9,36.641312493218315,0.094222687646869,2004-06-17,21.070333268907333,0.671063671998874,10,20
6,2004-08-21,20,10,11,36.72602601484819,0.06112516273814748,2004-07-20,22.97736323963512,1.058458761882538,10,20
7,2004-09-23,20,10,9,36.70020548502604,0.1647423350685203,2004-08-22,23.31388897365994,0.6731762129652136,10,20
8,2004-10-26,20,10,8,36.76854610443115,0.17322834428643283,2004-09-24,22.510374784469604,0.7620312716269635,10,20
9,2004-11-28,20,10,11,36.64636924050071,0.19138653212382295,2004-10-27,20.476999976418234,1.347953366225246,10,20
10,2004-12-31,20,10,8,36.51924419403076,0.2160854345456075,2004-11-29,17.971749782562256,1.3022031600853559,10,20
11,2005-02-03,20,10,10,36.40982437133789,0.20259202543431762,2005-01-01,16.613499927520753,1.1097679822996964,10,20
12,2005-03-09,20,10,9,36.35002517700195,0.16140258490778261,2005-02-04,15.893222490946451,0.9628429617352083,10,20
13,2005-04-11,20,10,8,36.28234624862671,0.1609750466742411,2005-03-10,16.09724998474121,0.8598838871561156,10,20
14,2005-05-14,20,10,10,36.354652404785156,0.1933670377541812,2005-04-12,17.00830011367798,1.01793405688906,10,20
15,2005-06-16,20,10,12,36.45876922607422,0.17397809647181178,2005-05-15,18.67008352279663,0.5873139135728052,10,20
16,2005-07-19,20,10,9,36.488865988595144,0.14929550712599293,2005-06-17,20.51222250196669,0.4952145935906367,10,20
